Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
30368,4,0.013,0.001,0.000001,0
30413,4,0.013,0.001,0.000001,0
30458,4,0.013,0.001,0.000001,0
30503,4,0.013,0.001,0.000001,0
30548,3,0.01,0.001,0.000001,0
30593,4,0.013,0.001,0.000001,0
30638,4,0.013,0.001,0.000001,0
30683,2,0.006,0.001,0.000001,0
30736,4,0.013,0.001,0.000001,0
30781,3,0.01,0.001,0.000001,0
30826,4,0.013,0.001,0.000001,0
30871,3,0.01,0.001,0.000001,0
30916,3,0.01,0.001,0.000001,0
30961,4,0.013,0.001,0.000001,0
31006,3,0.01,0.001,0.000001,0
31051,4,0.013,0.001,0.000001,0
31096,3,0.01,0.001,0.000001,0
31141,5,0.016,0.002,0.000002,0
31186,5,0.016,0.002,0.000002,0
31231,4,0.013,0.001,0.000001,0
31276,5,0.016,0.002,0.000002,0
31329,3,0.01,0.001,0.000001,0
31374,3,0.01,0.001,0.000001,0
31419,3,0.01,0.001,0.000001,0
31464,3,0.01,0.001,0.000001,0
31509,4,0.013,0.001,0.000001,0
31554,5,0.016,0.002,0.000002,0
31599,2,0.006,0.001,0.000001,0
31644,4,0.013,0.001,0.000001,0
31689,3,0.01,0.001,0.000001,0
31734,3,0.01,0.001,0.000001,0
31779,4,0.013,0.001,0.000001,0
31824,4,0.013,0.001,0.000001,0
31869,4,0.013,0.001,0.000001,0
31914,2,0.006,0.001,0.000001,0
31967,4,0.013,0.001,0.000001,0
32012,4,0.013,0.001,0.000001,0
32057,3,0.01,0.001,0.000001,0
32102,3,0.01,0.001,0.000001,0
32147,3,0.01,0.001,0.000001,0
32192,5,0.016,0.002,0.000002,0
